   ,chang_per           ,change               ,high  ,last             ,low   ,name         ,time              ,volume
0  ,0.037500000000000006,0.3275               ,914.69,908.1975         ,907.85,VN 30 (VNI30),1553221822.6526022,6817.0
1  ,0.015               ,0.155                ,914.69,908.025          ,907.73,VN 30 (VNI30),1553221951.3677719,7390.0
2  ,-0.005              ,-0.030000000000000013,914.69,907.8399999999999,907.46,VN 30 (VNI30),1553221998.181705 ,7606.0
3  ,0.1825              ,1.6675               ,914.69,909.5374999999999,907.17,VN 30 (VNI30),1553222471.393389 ,9421.0
4  ,0.195               ,1.795                ,914.69,909.6650000000001,907.17,VN 30 (VNI30),1553222749.365622 ,10100.0
5  ,0.1825              ,1.6749999999999998   ,914.69,909.5450000000001,907.17,VN 30 (VNI30),1553222794.192883 ,10326.0
6  ,0.1925              ,1.7616666666666665   ,914.69,909.6316666666668,907.17,VN 30 (VNI30),1553222837.4808269,10464.0
7  ,0.21250000000000002 ,1.933125             ,914.69,909.803125       ,907.17,VN 30 (VNI30),1553222882.7513971,10665.0
8  ,0.2285              ,2.0749999999999997   ,914.69,909.945          ,907.17,VN 30 (VNI30),1553222927.4998379,10724.0
9  ,0.25125000000000003 ,2.2775               ,914.69,910.1475         ,907.17,VN 30 (VNI30),1553222970.933921 ,10775.0
10 ,0.26571428571428574 ,2.4092857142857147   ,914.69,910.2792857142857,907.17,VN 30 (VNI30),1553223011.989902 ,10891.0
11 ,0.27718750000000003 ,2.5140624999999996   ,914.69,910.3840625      ,907.17,VN 30 (VNI30),1553223058.221622 ,11003.0
12 ,0.2872222222222222  ,2.604444444444444    ,914.69,910.4744444444445,907.17,VN 30 (VNI30),1553223105.0128472,11189.0
13 ,0.29325             ,2.6605               ,914.69,910.5305000000001,907.17,VN 30 (VNI30),1553223150.772798 ,11391.0
14 ,0.2968181818181818  ,2.694772727272727    ,914.69,910.5647727272728,907.17,VN 30 (VNI30),1553223200.8637938,11434.0
15 ,0.23600000000000004 ,2.13                 ,914.69,910.0            ,907.17,VN 30 (VNI30),1553223488.254046 ,12140.0
16 ,0.2544444444444445  ,2.2977777777777777   ,914.69,910.1677777777778,907.17,VN 30 (VNI30),1553223534.2105742,12184.0
17 ,0.26153846153846155 ,2.3669230769230767   ,914.69,910.2369230769231,907.17,VN 30 (VNI30),1553223579.422455 ,12234.0
18 ,0.268235294117647   ,2.425294117647059    ,914.69,910.2952941176471,907.17,VN 30 (VNI30),1553223624.520789 ,12802.0
19 ,0.27428571428571424 ,2.482857142857143    ,914.69,910.3528571428571,907.17,VN 30 (VNI30),1553223664.837762 ,12923.0
20 ,0.2816              ,2.5536000000000003   ,914.69,910.4236         ,907.17,VN 30 (VNI30),1553223711.353    ,12972.0
21 ,0.29344827586206895 ,2.66                 ,914.69,910.53           ,907.17,VN 30 (VNI30),1553223758.2540412,13078.0
22 ,0.30090909090909096 ,2.7260606060606065   ,914.69,910.5960606060605,907.17,VN 30 (VNI30),1553223803.393079 ,13156.0
23 ,0.30864864864864866 ,2.797027027027027    ,914.69,910.6670270270271,907.17,VN 30 (VNI30),1553223848.00761  ,13233.0
24 ,0.31634146341463415 ,2.8665853658536586   ,914.69,910.7365853658538,907.17,VN 30 (VNI30),1553223893.302219 ,13378.0
25 ,0.3229545454545455  ,2.9268181818181818   ,914.69,910.7968181818183,907.17,VN 30 (VNI30),1553223934.8833091,13455.0
26 ,0.41200000000000003 ,3.7299999999999995   ,914.69,911.6            ,907.17,VN 30 (VNI30),1553224025.909645 ,14259.0
27 ,0.40444444444444444 ,3.671111111111111    ,914.69,911.5411111111111,907.17,VN 30 (VNI30),1553224069.7221708,14298.0
28 ,0.3946153846153846  ,3.58076923076923     ,914.69,911.4507692307694,907.17,VN 30 (VNI30),1553224117.0518882,14389.0
29 ,0.3835294117647059  ,3.4864705882352944   ,914.69,911.3564705882353,907.17,VN 30 (VNI30),1553224163.856199 ,14516.0
30 ,0.3761904761904762  ,3.420952380952381    ,914.69,911.2909523809524,907.17,VN 30 (VNI30),1553224209.120694 ,14562.0
31 ,0.37079999999999996 ,3.3704               ,914.69,911.2404000000001,907.17,VN 30 (VNI30),1553224258.57932  ,14610.0
32 ,0.36517241379310345 ,3.31896551724138     ,914.69,911.1889655172415,907.17,VN 30 (VNI30),1553224305.623115 ,14648.0
33 ,0.36030303030303035 ,3.276060606060606    ,914.69,911.1460606060606,907.17,VN 30 (VNI30),1553224349.2088761,14718.0
34 ,0.35513513513513517 ,3.2286486486486483   ,914.69,911.0986486486485,907.17,VN 30 (VNI30),1553224394.479507 ,14872.0
35 ,0.34731707317073174 ,3.1592682926829267   ,914.69,911.0292682926829,907.17,VN 30 (VNI30),1553224440.3145778,15045.0
36 ,0.3388888888888889  ,3.0820000000000007   ,914.69,910.9520000000001,907.17,VN 30 (VNI30),1553224483.410594 ,15117.0
37 ,0.33163265306122447 ,3.0148979591836738   ,914.69,910.8848979591837,907.17,VN 30 (VNI30),1553224529.260074 ,15173.0
38 ,0.3241509433962264  ,2.944905660377359    ,914.69,910.8149056603773,907.17,VN 30 (VNI30),1553224575.05734  ,15254.0
39 ,0.3168421052631579  ,2.8787719298245618   ,914.69,910.7501754385966,907.17,VN 30 (VNI30),1553224626.272491 ,15328.0
40 ,0.3109836065573771  ,2.8262295081967217   ,914.69,910.6975409836066,907.17,VN 30 (VNI30),1553224670.276628 ,15354.0
41 ,0.3043076923076923  ,2.766153846153846    ,914.69,910.6373846153845,907.17,VN 30 (VNI30),1553224712.2346282,15476.0
