mae               ,mape              ,mse               ,order      ,rmse              ,training time
101243.07272727272,100.0             ,10256592247.545454,"(0, 0, 0)",101274.83521361787,0.00982809066772461
967.2363636363636 ,0.9457503533500414,1806409.2363636363,"(0, 1, 0)",1344.027245394838 ,0.013263225555419922
977.2647924526751 ,0.9559020955590157,1803709.9305803792,"(1, 0, 0)",1343.0226843134033,0.02707386016845703
958.8691004181024 ,0.9377037527920927,1788634.7783706721,"(1, 1, 0)",1337.3985114283148,0.01376199722290039
967.4722180778399 ,0.946443236088361 ,1783108.0279902983,"(2, 0, 0)",1335.3306811386826,0.0288848876953125
963.2154661641081 ,0.9419165528604053,1797288.7515808307,"(2, 1, 0)",1340.6299830978087,0.015136241912841797
