mae               ,mape              ,mse               ,order      ,rmse              ,training time
18818.18181818182 ,100.0             ,355402909.09090906,"(0, 0, 0)",18852.132746480147,0.010523080825805664
227.27272727272728,1.2158120316884142,89909.09090909091 ,"(0, 1, 0)",299.8484465677468 ,0.012764930725097656
230.5017492966554 ,1.2325890300776634,91313.21121175645 ,"(1, 0, 0)",302.1807591686745 ,0.024702072143554688
228.1564415097576 ,1.2209804755453195,87517.80481963421 ,"(1, 1, 0)",295.834083262281  ,0.014817953109741211
231.422147942431  ,1.237910023291568 ,89042.52903036849 ,"(2, 0, 0)",298.3999481071813 ,0.032524824142456055
228.65665983435431,1.2236790224535685,87648.56283380349 ,"(2, 1, 0)",296.0549996770929 ,0.014642953872680664
